dateTime,cpuTime,availRamMb,tcpv4TotalConn,tcpV6TotalConn,httpdSize,httpd1Size,httpd1Private,httpd1NPBytes,httpd1Handle,httpd2Size,total1911,established1911,time_wait1911,fin_wait1911,total1912,established1912,time_wait1912,fin_wait1912,total7077,established7077,time_wait7077,fin_wait7077,total7078,established7078,time_wait7078,fin_wait7078 
11/30/2023 11:36:40.005,65.575968003440693,8714,10284,0,4272128,23610699776,24322600960,7944008,66404,0,2,0,0,0,4993,2969,2020,0,1821,14,1805,0,351,348,1,0 
11/30/2023 11:37:38.786,61.751702383845753,8634,10361,0,4272128,23625338880,24337526784,7837168,66425,0,4,0,2,0,4624,2900,1722,0,1178,16,1160,0,59,54,3,0 
11/30/2023 11:38:38.886,63.125116142226787,8685,10326,0,4272128,23637393408,24349982720,7857176,66443,0,2,0,0,0,4648,2905,1741,0,1449,14,1433,0,62,56,4,0 
11/30/2023 11:39:38.635,49.500633639995741,8637,10304,0,4272128,23649857536,24362049536,7816232,66426,0,2,0,0,0,4677,2901,1774,0,2234,14,2218,0,59,52,5,0 
11/30/2023 11:40:40.312,39.546010352214324,8609,10318,0,4272128,23671468032,24384229376,8617512,66431,0,2,0,0,0,4633,2908,1723,0,1763,10,1750,0,58,56,0,0 
11/30/2023 11:41:39.878,44.943876008020453,8651,10342,0,4272128,23678480384,24391458816,8679512,66454,0,3,0,1,0,4641,2900,1739,0,1198,13,1183,0,132,128,2,0 
11/30/2023 11:42:39.381,47.52487420536,8684,10364,0,4272128,23685234688,24398438400,7884832,66476,0,4,0,2,0,4689,2903,1784,0,1539,14,1523,0,69,64,3,0 
11/30/2023 11:43:39.064,55.275450341315825,8609,10355,0,4272128,23700758528,24414089216,7876112,66470,0,3,0,1,0,4726,2927,1797,0,2085,9,2074,0,60,54,4,0 
11/30/2023 11:44:40.065,50.784117968877688,8438,10366,0,4272128,23709274112,24422621184,7900072,66478,0,2,0,0,0,4655,2889,1764,0,1824,8,1814,0,51,46,3,0 
11/30/2023 11:45:42.892,49.156358324439822,8429,10474,0,4272128,23717859328,24431919104,7868784,66526,0,3,0,1,0,4688,2893,1793,0,1286,12,1272,0,80,74,4,0 
11/30/2023 11:46:39.714,41.036365299642398,8556,10353,0,4272128,23726772224,24440442880,7837552,66466,0,2,0,0,0,4632,2888,1742,0,1406,12,1392,0,43,39,2,0 
11/30/2023 11:47:39.760,40.527751792411124,8571,10350,0,4272128,23728758784,24442470400,7869952,66469,0,2,0,0,0,4789,2906,1881,0,2028,12,2014,0,57,50,5,0 
11/30/2023 11:48:39.714,36.668836549948679,8577,10371,0,4272128,23739240448,24453750784,7858120,66482,0,2,0,0,0,4749,2925,1822,0,1819,10,1807,0,47,40,5,0 
11/30/2023 11:49:38.667,48.78494172616827,8558,10469,0,4272128,23751839744,24466132992,7940752,66503,0,2,0,0,0,4762,2908,1852,0,1413,10,1401,0,50,44,4,0 
11/30/2023 11:50:38.911,45.210359962920357,8510,10416,0,4272128,23765483520,24480157696,7866336,66500,0,7,0,5,0,4701,2919,1780,0,1485,14,1469,0,55,50,3,0 
11/30/2023 11:51:38.966,48.373152160993335,8573,10439,0,4272128,23772844032,24487587840,7969832,66524,0,2,0,0,0,4669,2927,1740,0,1999,12,1985,0,81,76,3,0 
11/30/2023 11:52:40.029,32.756934085267254,8578,10430,0,4272128,23784255488,24499003392,7841008,66515,0,2,0,0,0,4750,2934,1814,0,1753,14,1737,0,52,46,4,0 
11/30/2023 11:53:40.205,38.609876547167289,8553,10598,0,4272128,23786196992,24501006336,7892944,66531,0,2,0,0,0,4790,2940,1848,0,1463,10,1451,0,74,68,4,0 
11/30/2023 11:54:39.965,71.901761460397751,8526,10530,0,4272128,23796998144,24511860736,7927984,66558,0,2,0,0,0,4731,2932,1797,0,1592,10,1580,0,79,72,5,0 
11/30/2023 11:55:41.626,98.894209776731472,8459,10847,0,4272128,23803772928,24519458816,8441848,66753,0,10,0,8,0,4808,2949,1857,0,2118,12,2104,0,119,114,3,0 
11/30/2023 11:56:49.049,88.035982495347369,8477,11960,0,4272128,23810670592,24526548992,8394616,67419,0,2,0,0,0,4801,3018,1781,0,1853,8,1843,0,168,160,6,0 
11/30/2023 11:57:44.257,92.277218970760387,8504,11408,0,4272128,23817351168,24532430848,8566752,66995,0,2,0,0,0,5252,3364,1876,0,1774,10,1762,0,593,588,3,0 
11/30/2023 11:58:40.272,40.291610943427479,8507,10530,0,4272128,23826370560,24541659136,7798752,66578,0,3,0,1,0,5312,2957,2353,0,1797,10,1785,0,224,220,2,0 
11/30/2023 11:59:39.691,43.380149328994897,8488,10540,0,4272128,23836733440,24552611840,7954584,66578,0,2,0,0,0,4767,2957,1808,0,1764,12,1750,0,62,56,4,0 
11/30/2023 12:00:39.082,42.568985857412102,8450,10556,0,4272128,23836803072,24552878080,7934040,66584,0,2,0,0,0,4736,2957,1777,0,1783,11,1770,0,55,52,1,0 
11/30/2023 12:01:38.752,42.987210414414456,8494,10595,0,4272128,23842738176,24558546944,8005416,66613,0,4,0,2,0,4700,2967,1730,1,1694,12,1680,0,53,48,3,0 
11/30/2023 12:02:39.153,39.230319273346822,8427,10519,0,4272128,23852535808,24568553472,7981488,66594,0,2,0,0,0,4722,2942,1777,0,1504,12,1490,0,43,40,1,0 
11/30/2023 12:03:39.369,56.944350877811779,8405,10573,0,4272128,23865921536,24582074368,7980984,66591,0,2,0,0,0,4780,3026,1752,0,1743,8,1733,0,71,64,5,0 
11/30/2023 12:04:39.501,44.309869852616323,8459,10575,0,4272128,23873478656,24589680640,8010024,66592,0,2,0,0,0,4708,2948,1758,0,1850,8,1840,0,48,40,6,0 
11/30/2023 12:05:39.563,38.226277790258713,8434,10559,0,4272128,23880081408,24596418560,7993688,66589,0,3,0,1,0,4713,2956,1755,0,1527,10,1515,0,63,60,1,0 
11/30/2023 12:06:38.730,40.006215226129683,8440,10549,0,4272128,23881641984,24598073344,8026896,66614,0,5,0,3,0,4653,2947,1704,0,1378,10,1366,0,62,60,0,0 
11/30/2023 12:07:39.085,38.881755233278817,8435,10592,0,4272128,23898161152,24614854656,8008024,66597,0,2,0,0,0,4792,2978,1812,0,1853,12,1838,0,77,72,3,0 
11/30/2023 12:08:38.368,30.644093590104625,8418,10556,0,4272128,23908614144,24625635328,8059560,66603,0,2,0,0,0,4763,2987,1774,0,1769,10,1757,0,64,60,2,0 
11/30/2023 12:09:38.967,32.714615160859509,8370,10560,0,4272128,23908646912,24625700864,8024904,66607,0,4,0,2,0,4738,2959,1777,0,1635,12,1621,0,45,40,3,0 
11/30/2023 12:10:39.679,36.46676831759865,8448,10544,0,4272128,23912566784,24629829632,7952904,66596,0,2,0,0,0,4715,2942,1771,0,1528,15,1511,0,70,66,2,0 
11/30/2023 12:11:39.729,31.126534502909898,8390,10611,0,4272128,23918231552,24635334656,7953872,66600,0,2,0,0,0,4706,2961,1743,0,1753,14,1737,0,48,44,2,0 
11/30/2023 12:12:38.966,62.298686147812312,8352,10599,0,4272128,23940976640,24658366464,8006776,66607,0,2,0,0,0,4814,2981,1831,0,1833,16,1815,0,58,52,4,0 
